evaluation,Model,BOF_accuracy,BOF_precision,BOF_recall,BOF_f1,input_validation_accuracy,input_validation_precision,input_validation_recall,input_validation_f1,privilege_escalation_authorization_accuracy,privilege_escalation_authorization_precision,privilege_escalation_authorization_recall,privilege_escalation_authorization_f1,resource_allocation_free_accuracy,resource_allocation_free_precision,resource_allocation_free_recall,resource_allocation_free_f1,value_propagation_accuracy,value_propagation_precision,value_propagation_recall,value_propagation_f1,mixed_accuracy,mixed_precision,mixed_recall,mixed_f1
BOF,Devign,0.9090,0.3580,0.3135,0.3343,0.9063,0.1954,0.0919,0.1250,0.9051,0.2407,0.1405,0.1775,0.8917,0.2115,0.1784,0.1935,0.9067,0.1389,0.0541,0.0778,0.9137,0.3651,0.2486,0.2958
BOF,ReGVD,0.9348,0.6989,0.2321,0.3485,0.9302,0.1940,0.0949,0.1275,0.9490,0.2667,0.0250,0.0457,0.9467,0.3333,0.0227,0.0426,0.9176,0.3200,0.0857,0.1352,0.9398,0.4401,0.1089,0.1746
BOF,ReVeal,0.9157,0.4027,0.3243,0.3593,0.9130,0.2568,0.1027,0.1467,0.8972,0.1984,0.1351,0.1608,0.8980,0.1574,0.0919,0.1160,0.8688,0.1442,0.1622,0.1527,0.9004,0.3350,0.3730,0.3529
BOF,CodeBert,0.9338,0.6241,0.4019,0.2964,0.9281,0.6579,0.1572,0.0893,0.9222,0.3913,0.1104,0.0643,0.9225,0.3636,0.0767,0.0429,0.9233,0.3125,0.0338,0.0179,0.9346,0.6579,0.2679,0.3807
BOF,VulbertCNN,0.0751,0.0751,1.0000,0.1397,0.0751,0.0751,1.0000,0.1397,0.0751,0.0751,1.0000,0.1397,0.0751,0.0751,1.0000,0.1397,0.0751,0.0751,1.0000,0.1397,,,,
BOF,VulBERTa MLP,,,,,,,,,,,,,,,,,,,,,,,,
BOF,Code2Vec,0.9246,0.0000,0.0000,0.0000,0.9149,0.2632,0.0717,0.1127,0.9171,0.2879,0.0681,0.1101,0.9160,0.1667,0.0287,0.0489,0.9144,0.1346,0.0251,0.0423,0.9246,0.0000,0.0000,0.0000
BOF,PLBART,0.9359,0.6010,0.4357,0.5052,0.9246,0.4545,0.0179,0.0344,0.9185,0.2500,0.0429,0.0732,0.9201,0.2000,0.0214,0.0387,0.9185,0.1471,0.0179,0.0318,0.9346,0.7432,0.1964,0.3107
BOF,LineVul,0.9735,0.8339,0.8071,0.8203,0.9659,0.8525,0.6607,0.7445,0.9622,0.8390,0.6143,0.7093,0.9630,0.8381,0.6286,0.7184,0.9633,0.8824,0.5893,0.7066,0.9772,0.8884,0.7964,0.8399
input_validation,Devign,0.9254,0.1786,0.1538,0.1653,0.9431,0.3333,0.1846,0.2376,0.9335,0.1795,0.1077,0.1346,0.9062,0.0811,0.0923,0.0863,0.9468,0.3333,0.1077,0.1628,0.9313,0.2200,0.1692,0.1913
input_validation,ReGVD,0.9236,0.4359,0.0607,0.1066,0.9526,0.7667,0.1679,0.2754,0.9502,0.3846,0.0313,0.0578,0.9428,0.1304,0.0170,0.0302,0.9384,0.2727,0.0875,0.1325,0.9404,0.4298,0.0580,0.1022
input_validation,ReVeal,0.9291,0.1556,0.1077,0.1273,0.9439,0.3226,0.1538,0.2083,0.9357,0.2609,0.1846,0.2162,0.9225,0.1429,0.1231,0.1322,0.9121,0.1860,0.2462,0.2119,0.9321,0.2545,0.2154,0.2333
input_validation,CodeBert,0.9267,0.1875,0.1382,0.1095,0.9569,0.8649,0.3678,0.2336,0.9451,0.4516,0.1667,0.1022,0.9432,0.2500,0.0523,0.0292,0.9455,0.2500,0.0142,0.0073,0.9494,0.5588,0.2774,0.3707
input_validation,VulbertCNN,0.0537,0.0537,1.0000,0.1019,0.0537,0.0537,1.0000,0.1019,0.0537,0.0537,1.0000,0.1019,0.0537,0.0537,1.0000,0.1019,0.0537,0.0537,1.0000,0.1019,,,,
input_validation,VulBERTa MLP,,,,,,,,,,,,,,,,,,,,,,,,
input_validation,Code2Vec,0.9463,0.0000,0.0000,0.0000,0.9471,0.5147,0.2574,0.3431,0.9376,0.2500,0.0809,0.1222,0.9364,0.1212,0.0294,0.0473,0.9404,0.2414,0.0515,0.0848,0.9463,0.0000,0.0000,0.0000
input_validation,PLBART,0.9220,0.2019,0.1533,0.1743,0.9475,0.5882,0.0730,0.1299,0.9392,0.3200,0.1168,0.1711,0.9408,0.1818,0.0292,0.0503,0.9416,0.1250,0.0146,0.0261,0.9498,0.6098,0.1825,0.2809
input_validation,LineVul,0.9635,0.6618,0.6569,0.6593,0.9796,0.8632,0.7372,0.7953,0.9761,0.8958,0.6277,0.7382,0.9745,0.8750,0.6131,0.7210,0.9745,0.9091,0.5839,0.7111,0.9831,0.8790,0.7956,0.8352
privilege_escalation_authorization,Devign,0.9225,0.0952,0.0561,0.0706,0.9259,0.0926,0.0467,0.0621,0.9436,0.4412,0.2804,0.3429,0.9029,0.0583,0.0561,0.0571,0.9299,0.0500,0.0187,0.0272,0.9387,0.3594,0.2150,0.2690
privilege_escalation_authorization,ReGVD,0.9220,0.2609,0.0214,0.0396,0.9467,0.5455,0.0438,0.0811,0.9481,0.3214,0.0563,0.0957,0.9443,0.0714,0.0057,0.0105,0.9392,0.0851,0.0250,0.0386,0.9391,0.2820,0.0260,0.0476
privilege_escalation_authorization,ReVeal,0.9333,0.1915,0.0841,0.1169,0.9348,0.1750,0.0654,0.0952,0.9362,0.3425,0.2336,0.2778,0.9156,0.0667,0.0467,0.0549,0.9078,0.1284,0.1308,0.1296,0.9289,0.3333,0.3551,0.3439
privilege_escalation_authorization,CodeBert,0.9469,0.1500,0.0333,0.0188,0.9505,0.4375,0.0795,0.0438,0.9588,0.6812,0.4105,0.2938,0.9469,0.0625,0.0114,0.0063,0.9511,0.5000,0.0123,0.0063,0.9554,0.6458,0.1938,0.2981
privilege_escalation_authorization,VulbertCNN,0.0489,0.0489,1.0000,0.0932,0.0489,0.0489,1.0000,0.0932,0.0489,0.0489,1.0000,0.0932,0.0489,0.0489,1.0000,0.0932,0.0489,0.0489,1.0000,0.0932,,,,
privilege_escalation_authorization,VulBERTa MLP,,,,,,,,,,,,,,,,,,,,,,,,
privilege_escalation_authorization,Code2Vec,0.9509,0.0000,0.0000,0.0000,0.9436,0.1667,0.0375,0.0612,0.9546,0.5682,0.3125,0.4032,0.9460,0.0556,0.0063,0.0112,0.9463,0.2000,0.0313,0.0541,0.9509,0.0000,0.0000,0.0000
privilege_escalation_authorization,PLBART,0.9395,0.1481,0.0500,0.0748,0.9496,0.2727,0.0188,0.0351,0.9542,0.5532,0.3250,0.4094,0.9465,0.0588,0.0063,0.0113,0.9496,0.2727,0.0188,0.0351,0.9563,0.7742,0.1500,0.2513
privilege_escalation_authorization,LineVul,0.9792,0.8433,0.7063,0.7687,0.9777,0.8425,0.6687,0.7456,0.9823,0.8542,0.7688,0.8092,0.9777,0.8537,0.6562,0.7420,0.9783,0.8739,0.6500,0.7455,0.9866,0.9203,0.7937,0.8523
resource_allocation_free,Devign,0.9301,0.2000,0.0917,0.1257,0.9351,0.2500,0.0917,0.1341,0.9296,0.1731,0.0750,0.1047,0.9296,0.3229,0.2583,0.2870,0.9346,0.2051,0.0667,0.1006,0.9333,0.2833,0.1417,0.1889
resource_allocation_free,ReGVD,0.9241,0.2857,0.0071,0.0139,0.9463,0.0000,0.0000,0.0000,0.9511,0.0000,0.0000,0.0000,0.9490,1.0000,0.0227,0.0444,0.9398,1.0000,0.0109,0.0215,0.9416,0.5833,0.0082,0.0163
resource_allocation_free,ReVeal,0.9333,0.1905,0.0667,0.0988,0.9365,0.2683,0.0917,0.1366,0.9264,0.1639,0.0833,0.1105,0.9397,0.4000,0.2000,0.2667,0.9348,0.0926,0.0284,0.0434,0.9424,0.4423,0.1917,0.2674
resource_allocation_free,CodeBert,0.9440,0.2174,0.0503,0.0284,0.9469,0.4000,0.0628,0.0341,0.9431,0.1000,0.0204,0.0114,0.9514,0.6579,0.2336,0.1420,0.9475,0.0000,0.0000,0.0000,0.9490,0.5625,0.1023,0.1731
resource_allocation_free,VulbertCNN,0.0522,0.0522,1.0000,0.0992,0.0522,0.0522,1.0000,0.0992,0.0522,0.0522,1.0000,0.0992,0.0522,0.0522,1.0000,0.0992,0.0522,0.0522,1.0000,0.0992,,,,
resource_allocation_free,VulBERTa MLP,,,,,,,,,,,,,,,,,,,,,,,,
resource_allocation_free,Code2Vec,0.9474,0.0000,0.0000,0.0000,0.9396,0.1750,0.0400,0.0651,0.9396,0.1579,0.0343,0.0563,0.9456,0.4595,0.1943,0.2731,0.9408,0.1563,0.0286,0.0483,0.9474,0.0000,0.0000,0.0000
resource_allocation_free,PLBART,0.9357,0.1639,0.0568,0.0844,0.9478,0.0000,0.0000,0.0000,0.9336,0.0200,0.0057,0.0088,0.9487,0.5319,0.1420,0.2242,0.9449,0.2222,0.0227,0.0412,0.9487,0.6154,0.0455,0.0847
resource_allocation_free,LineVul,0.9784,0.8705,0.6875,0.7683,0.9763,0.8582,0.6534,0.7419,0.9760,0.8571,0.6477,0.7379,0.9795,0.8905,0.6932,0.7796,0.9787,0.9127,0.6534,0.7616,0.9825,0.9535,0.6989,0.8066
value_propagation,Devign,0.9223,0.2143,0.2264,0.2202,0.9232,0.1026,0.0755,0.0870,0.9296,0.1471,0.0943,0.1149,0.9086,0.0877,0.0943,0.0909,0.9452,0.3704,0.1887,0.2500,0.9369,0.3095,0.2453,0.2737
value_propagation,ReGVD,0.9249,0.0000,0.0000,0.0000,0.9463,0.0000,0.0000,0.0000,0.9511,0.0000,0.0000,0.0000,0.9478,0.0000,0.0000,0.0000,0.9451,0.6097,0.2717,0.3759,0.9415,0.0000,0.0000,0.0000
value_propagation,ReVeal,0.9214,0.1633,0.1509,0.1569,0.9296,0.0714,0.0377,0.0494,0.9351,0.2000,0.1132,0.1446,0.9241,0.1591,0.1321,0.1443,0.9132,0.2439,0.3774,0.2963,0.9223,0.2576,0.3208,0.2857
value_propagation,CodeBert,0.9253,0.1613,0.0813,0.0543,0.9339,0.0000,0.0000,0.0000,0.9352,0.3125,0.0926,0.0543,0.9345,0.2308,0.0571,0.0326,0.9484,0.7500,0.3500,0.2283,0.9491,0.7143,0.2717,0.3937
value_propagation,VulbertCNN,0.0608,0.0608,1.0000,0.1147,0.0608,0.0608,1.0000,0.1147,0.0608,0.0608,1.0000,0.1147,0.0608,0.0608,1.0000,0.1147,0.0608,0.0608,1.0000,0.1147,,,,
value_propagation,VulBERTa MLP,,,,,,,,,,,,,,,,,,,,,,,,
value_propagation,Code2Vec,0.9389,0.0000,0.0000,0.0000,0.9276,0.0952,0.0217,0.0354,0.9336,0.2143,0.0326,0.0566,0.9309,0.1667,0.0326,0.0545,0.9429,0.5536,0.3370,0.4189,0.9389,0.0000,0.0000,0.0000
value_propagation,PLBART,0.9180,0.2037,0.1196,0.1507,0.9392,0.0000,0.0000,0.0000,0.9306,0.2174,0.0543,0.0870,0.9332,0.1538,0.0217,0.0381,0.9484,0.6842,0.2826,0.4000,0.9411,0.5882,0.1087,0.1835
value_propagation,LineVul,0.9795,0.8081,0.8696,0.8377,0.9775,0.8021,0.8370,0.8191,0.9775,0.8452,0.7717,0.8068,0.9808,0.8706,0.8043,0.8362,0.9874,0.9398,0.8478,0.8914,0.9861,0.8586,0.9239,0.8901
mixed,Devign,0.9210,0.2474,0.1830,0.2104,0.9248,0.1877,0.0925,0.1239,0.9264,0.2533,0.1434,0.1831,0.9073,0.1667,0.1528,0.1594,0.9289,0.1859,0.0698,0.1015,0.9279,0.3064,0.2000,0.2420
mixed,ReGVD,0.9330,0.6829,0.2000,0.3093,0.9498,0.6216,0.1678,0.2643,0.9523,0.5666,0.1063,0.1789,0.9478,0.5000,0.0511,0.0928,0.9331,0.2681,0.0828,0.1265,0.9450,0.6307,0.1455,0.2365
mixed,ReVeal,0.9089,0.2948,0.4189,0.3461,0.9286,0.3476,0.2755,0.3074,0.9143,0.3018,0.3736,0.3339,0.8844,0.2455,0.4868,0.3264,0.9025,0.2653,0.3925,0.3166,0.9227,0.3369,0.3547,0.3456
mixed,CodeBert,0.9370,0.3868,0.1314,0.1961,0.9433,0.6140,0.0828,0.1460,0.9408,0.4725,0.1018,0.1675,0.9397,0.3879,0.0533,0.0937,0.9418,0.5490,0.0331,0.0625,0.9468,0.6296,0.2213,0.3275
mixed,VulbertCNN,,,,,,,,,,,,,,,,,,,,,,,,
mixed,VulBERTa MLP,,,,,,,,,,,,,,,,,,,,,,,,
mixed,Code2Vec,0.9412,0.0000,0.0000,0.0000,0.9342,0.2887,0.0819,0.1277,0.9367,0.3663,0.1057,0.1641,0.9350,0.2632,0.0594,0.0969,0.9354,0.2872,0.0665,0.1080,0.9412,0.0000,0.0000,0.0000
mixed,PLBART,0.9323,0.3613,0.2604,0.2036,0.9413,0.4615,0.0213,0.0407,0.9350,0.3245,0.1018,0.1550,0.9378,0.2946,0.0450,0.0780,0.9389,0.3419,0.0473,0.0832,0.9462,0.6932,0.1444,0.2390
mixed,LineVul,0.9748,0.8087,0.7456,0.7759,0.9747,0.8466,0.6923,0.7617,0.9740,0.8550,0.6698,0.7512,0.9741,0.8618,0.6639,0.7500,0.9748,0.8988,0.6414,0.7486,0.9825,0.9001,0.7893,0.8411