Model,Fold,Diverse,Nondiverse,Cross project,Mixed project
Devign,0,0.1577,0.0986,0.1696,0.2708
Devign,1,0.1302,0.2146,0.0981,0.2314
Devign,2,0.1773,0.1388,0.134,0.166
Devign,3,0.1221,0.1644,0.166,0.2811
Devign,4,0.215,0.1277,0.1454,0.2669
LineVul,0,0.6634,0.7792,0.8050,0.8363
LineVul,1,0.6507,0.6534,0.6542,0.8489
LineVul,2,0.4825,0.4539,0.5116,0.8342
LineVul,3,0.7848,0.8176,0.8275,0.8416
LineVul,4,0.7279,0.7028,0.7921,0.8425
ReGVD,0,0.0296,0.0726,0.0271,0.2537
ReGVD,1,0.1478,0.0889,0.1519,0.2929
ReGVD,2,0.0051,0.0210,0.0499,0.2656
ReGVD,3,0.0057,0.0541,0.0824,0.3075
ReGVD,4,0.0101,0.0633,0.0303,0.2923
ReVeal,0,0.1355,0.0959,0.1961,0.3195
ReVeal,1,0.1812,0.2078,0.2562,0.3018
ReVeal,2,0.1297,0.1886,0.2114,0.3488
ReVeal,3,0.1300,0.1451,0.1926,0.3328
ReVeal,4,0.1967,0.1258,0.2288,0.3776
CodeBERT,0,0.0421,0.0615,0.0680,0.2950
CodeBERT,1,0.1395,0.0516,0.0725,0.2141
CodeBERT,2,0.0013,0.0682,0.0833,0.2606
CodeBERT,3,0.0088,0.0449,0.0199,0.2289
CodeBERT,4,0.0282,0.0709,0.0052,0.2085
VulBERTa-CNN,0,0.0853,0.0853,0.1124,0.1124
VulBERTa-CNN,1,0.1425,0.1425,0.1425,0.1097
VulBERTa-CNN,2,0.2077,0.2077,0.2077,0.1015
VulBERTa-CNN,3,0.1269,0.1269,0.1269,0.1045
VulBERTa-CNN,4,0.1405,0.1405,0.1405,0.1063
PLBART,0,0.0309,0.1278,0.0309,0.2439
PLBART,1,0.2269,0.1704,0.1095,0.2915
PLBART,2,0.0000,0.1042,0.0181,0.1967
PLBART,3,0.0000,0.1142,0.0029,0.2209
PLBART,4,0.0601,0.0911,0.0025,0.2893
Code2Vec,0,0.0000,0.0000,0.0000,0.0000
Code2Vec,1,0.0000,0.0000,0.0000,0.0000
Code2Vec,2,0.0000,0.0000,0.0000,0.0000
Code2Vec,3,0.0000,0.0000,0.0000,0.0000
Code2Vec,4,0.0000,0.0000,0.0000,0.0000