Model,1%,5%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,,100-10% difference
Devign,0.4859,0.6238,0.6192,0.5915,0.6514,0.6173,0.6457,0.6605,0.6480,0.6349,0.6259,0.6656,,0.0464
LineVul,0.7109,0.6775,0.6825,0.7155,0.7267,0.7451,0.7439,0.7676,0.7595,0.7647,0.7780,0.7884,,0.1059
ReVeal,0.6236,0.7022,0.7014,0.6094,0.6190,0.6490,0.6850,0.6409,0.6313,0.6243,0.6137,0.6276,,-0.0738
ReGVD,0.7208,0.6439,0.7031,0.7200,0.7353,0.7161,0.7155,0.7226,0.7339,0.7349,0.7338,0.7337,,0.0306
CodeBert,0.4587,0.5234,0.6246,0.5628,0.5680,0.6552,0.6832,0.6809,0.6598,0.6576,0.6743,0.6648,,0.0402
VulBERTa-CNN,0.6446,0.7431,0.7436,0.7438,0.7480,0.7462,0.7443,0.7447,0.7471,0.7431,0.7438,0.7431,,-0.0005
VulBERTa-MLP,0.5249,0.5826,0.6150,0.6339,0.6134,0.4343,0.4133,0.6842,0.0519,0.6617,0.5645,0.5162,,-0.0987
Code2Vec,0.4237,0.6918,0.5163,0.6293,0.5901,0.7103,0.7102,0.7154,0.5573,0.3430,0.6024,0.3212,,-0.1951
PLBART,0.7037,0.5783,0.6192,0.6978,0.6580,0.6926,0.7132,0.6579,0.7105,0.6888,0.6841,0.7075,,0.0883
,,,,,,,,,,,,,,
,,,,0.0189,-0.0204,-0.1791,-0.0211,0.2710,-0.6324,0.6098,-0.0972,-0.0482,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0883,,